RK,TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G
1,New England,1196,398.7,948,316,248,82.7,108,36
2,Seattle,1141,380.3,685,228.3,456,152,83,27.7
3,Indianapolis,1055,351.7,759,253,296,98.7,57,19
4,Carolina,748,374,428,214,320,160,44,22
5,Baltimore,727,363.5,538,269,189,94.5,61,30.5
6,Green Bay,722,361,468,234,254,127,48,24
7,Dallas,630,315,412,206,218,109,45,22.5
8,Detroit,397,397,307,307,90,90,20,20
9,Pittsburgh,387,387,319,319,68,68,17,17
10,Denver,288,288,200,200,88,88,13,13
11,Cincinnati,254,254,144,144,110,110,10,10
12,Arizona,78,78,51,51,27,27,16,16
